coloumn ,data-type,description
meanfreq,real,meanfreq: mean frequency (in kHz)
sd,real,sd: standard deviation of frequency
median,real,median: median frequency (in kHz)
Q25,real,Q25: first quantile (in kHz)
Q75,real,Q75: third quantile (in kHz)
IQR,real,IQR: interquantile range (in kHz)
skew,real,skew: skewness (see note in specprop description)
kurt,real,kurt: kurtosis (see note in specprop description)
sp.ent,real,sp.ent: spectral entropy
sfm,real,sfm: spectral flatness
mode,real,mode: mode frequency
centroid,real,centroid: frequency centroid (see specprop)
peakf,real,peakf: peak frequency (frequency with highest energy)
meanfun,real,meanfun: average of fundamental frequency measured across acoustic signal
minfun,real,minfun: minimum fundamental frequency measured across acoustic signal
maxfun,real,maxfun: maximum fundamental frequency measured across acoustic signal
meandom,real,meandom: average of dominant frequency measured across acoustic signal
mindom,real,mindom: minimum of dominant frequency measured across acoustic signal
maxdom,real,maxdom: maximum of dominant frequency measured across acoustic signal
dfrange,real,dfrange: range of dominant frequency measured across acoustic signal
modindx,real,modindx: modulation index. Calculated as the accumulated absolute difference between adjacent measurements of fundamental frequencies divided by the frequency range
label,string,label: male or female
